LAT,LON,YEAR,MO,DY,ALLSKY_KT,ALLSKY_SFC_SW_DWN
5.5,-73.5,2022,1,6,0.62,5.74
5.5,-72.5,2022,1,6,0.71,6.61
5.5,-71.5,2022,1,6,0.73,6.76
5.5,-70.5,2022,1,6,0.7,6.48
6.5,-76.5,2022,1,6,0.32,2.94
6.5,-75.5,2022,1,6,0.35,3.21
6.5,-74.5,2022,1,6,0.47,4.28
6.5,-73.5,2022,1,6,0.62,5.72
6.5,-72.5,2022,1,6,0.7,6.4
6.5,-71.5,2022,1,6,0.72,6.59
6.5,-70.5,2022,1,6,0.73,6.69
7.5,-76.5,2022,1,6,0.38,3.41
7.5,-75.5,2022,1,6,0.4,3.58
7.5,-74.5,2022,1,6,0.58,5.25
7.5,-73.5,2022,1,6,0.71,6.4
7.5,-72.5,2022,1,6,0.71,6.44
7.5,-71.5,2022,1,6,0.72,6.47
7.5,-70.5,2022,1,6,0.71,6.43
1.5,-76.5,2022,1,7,0.56,5.45
1.5,-75.5,2022,1,7,0.61,5.99
1.5,-74.5,2022,1,7,0.64,6.24
1.5,-73.5,2022,1,7,0.67,6.59
1.5,-72.5,2022,1,7,0.64,6.22
1.5,-71.5,2022,1,7,0.62,6.1
1.5,-70.5,2022,1,7,0.62,6.02
2.5,-76.5,2022,1,7,0.48,4.6
2.5,-75.5,2022,1,7,0.58,5.64
2.5,-74.5,2022,1,7,0.65,6.28
2.5,-73.5,2022,1,7,0.69,6.69
2.5,-72.5,2022,1,7,0.63,6.04
2.5,-71.5,2022,1,7,0.65,6.25
2.5,-70.5,2022,1,7,0.6,5.77
3.5,-76.5,2022,1,7,0.37,3.5
3.5,-75.5,2022,1,7,0.52,4.98
3.5,-74.5,2022,1,7,0.59,5.58
3.5,-73.5,2022,1,7,0.65,6.25
3.5,-72.5,2022,1,7,0.63,5.99
3.5,-71.5,2022,1,7,0.63,6.03
3.5,-70.5,2022,1,7,0.64,6.1
4.5,-76.5,2022,1,7,0.24,2.21
4.5,-75.5,2022,1,7,0.37,3.47
4.5,-74.5,2022,1,7,0.54,5.12
4.5,-73.5,2022,1,7,0.6,5.64
4.5,-72.5,2022,1,7,0.67,6.31
4.5,-71.5,2022,1,7,0.68,6.39
4.5,-70.5,2022,1,7,0.63,5.92
5.5,-76.5,2022,1,7,0.23,2.13
5.5,-75.5,2022,1,7,0.31,2.91
5.5,-74.5,2022,1,7,0.43,4.0
5.5,-73.5,2022,1,7,0.57,5.33
5.5,-72.5,2022,1,7,0.6,5.6
5.5,-71.5,2022,1,7,0.68,6.28
5.5,-70.5,2022,1,7,0.67,6.23
6.5,-76.5,2022,1,7,0.32,2.94
6.5,-75.5,2022,1,7,0.29,2.65
6.5,-74.5,2022,1,7,0.36,3.33
6.5,-73.5,2022,1,7,0.38,3.53
6.5,-72.5,2022,1,7,0.43,3.98
6.5,-71.5,2022,1,7,0.63,5.82
6.5,-70.5,2022,1,7,0.67,6.13
7.5,-76.5,2022,1,7,0.39,3.56
7.5,-75.5,2022,1,7,0.35,3.16
7.5,-74.5,2022,1,7,0.39,3.5
7.5,-73.5,2022,1,7,0.39,3.56
7.5,-72.5,2022,1,7,0.48,4.34
7.5,-71.5,2022,1,7,0.66,5.95
7.5,-70.5,2022,1,7,0.66,6.01
1.5,-76.5,2022,1,8,0.68,6.62
1.5,-75.5,2022,1,8,0.68,6.67
1.5,-74.5,2022,1,8,0.67,6.57
1.5,-73.5,2022,1,8,0.66,6.49
1.5,-72.5,2022,1,8,0.62,6.12
1.5,-71.5,2022,1,8,0.62,6.08
1.5,-70.5,2022,1,8,0.6,5.87
2.5,-76.5,2022,1,8,0.56,5.46
2.5,-75.5,2022,1,8,0.61,5.91
2.5,-74.5,2022,1,8,0.67,6.47
2.5,-73.5,2022,1,8,0.66,6.41
2.5,-72.5,2022,1,8,0.63,6.11
2.5,-71.5,2022,1,8,0.66,6.35
2.5,-70.5,2022,1,8,0.63,6.07
3.5,-76.5,2022,1,8,0.52,4.95
3.5,-75.5,2022,1,8,0.63,6.02
3.5,-74.5,2022,1,8,0.63,5.99
3.5,-73.5,2022,1,8,0.61,5.82
3.5,-72.5,2022,1,8,0.65,6.19
3.5,-71.5,2022,1,8,0.65,6.19
3.5,-70.5,2022,1,8,0.64,6.07
